Author,Work
"Ariston of Chios","Testimonia et Fragmenta"
"Aristonicus of Alexandria","De signis Odysseae"
Aristophanes,Acharnians
Aristophanes,Birds
Aristophanes,Clouds
Aristophanes,Ecclesiazusae
Aristophanes,Frogs
Aristophanes,Knights
Aristophanes,Lysistrata
Aristophanes,Peace
Aristophanes,Thesmophoriazusae
Aristophanes,Wasps
Aristophanes,Wealth
"Aristophanes of Byzantium","Historiae Animalium Epitome"
Aristotle,"Analytica priora"
Aristotle,Categoriae
Aristotle,"Constitution of the Athenians"
Aristotle,"De Generatione Animalium"
Aristotle,"De Xenophane, de Zenone, de Gorgia"
Aristotle,"De anima"
Aristotle,"De anima (codicis E fragmenta recensionis a vulgata diversae)"
Aristotle,"De animalium incessu"
Aristotle,"De animalium motione"
Aristotle,"De audibilibus"
Aristotle,"De caelo"
Aristotle,"De coloribus"
Aristotle,"De divinatione per somnum"
Aristotle,"De generatione et corruptione"
Aristotle,"De insomniis"
Aristotle,"De interpretatione"
Aristotle,"De iuventute et senectute, De vita et morte"
Aristotle,"De lineis insecabilibus"
Aristotle,"De longitudine et brevitate vitae"
Aristotle,"De memoria et reminiscentia"
Aristotle,"De partibus animalium"
Aristotle,"De plantis"
Aristotle,"De respiratione"
Aristotle,"De sensu et sensibilibus"
Aristotle,"De somno et vigilia"
Aristotle,"De sophisticis elenchis"
Aristotle,"De spiritu"
Aristotle,"De ventorum situ et nominibus"
Aristotle,"Divisiones Aristoteleae"
Aristotle,Economics
Aristotle,Epistulae
Aristotle,"Eudemian Ethics"
Aristotle,"Historia animalium"
Aristotle,"Magna Moralia"
Aristotle,Mechanica
Aristotle,Metaphysics
Aristotle,Meteorologica
Aristotle,"Mirabilium auscultationes"
Aristotle,"Nicomachean Ethics"
Aristotle,"On Virtues and Vices"
Aristotle,Physica
Aristotle,"Physica (textus alter)"
Aristotle,Physiognomonica
Aristotle,Poetics
Aristotle,Politics
Aristotle,Problemata
Aristotle,"Res Publica Atheniensium"
Aristotle,"The ""Art"" of Rhetoric"
Aristotle,Topica
Aristoxenus,"Ἁρμονικὰ στοιχεῖα"
"Arius Didymus","Liber de philosophorum sectis (epitome ap. Stobaeum)"
Arrian,"Acies Contra Alanos"
Arrian,Cynegeticus
Arrian,"Epistula ad Lucium Gellium"
Arrian,Indica
Arrian,"Periplus Ponti Euxini"
Arrian,Tactica
Arrian,"Ἀλεξάνδρου Ἀνάβασις"
"Artaxerxis Epistulae",Epistulae
Artemidorus,"Ονειροκριτικά"
Asclepiodotus,Tactica
Asclepius,"In Aristotelis Metaphysicorum Libros A-Z Commentaria"
Aspasius,"In Ethica Nichomachea Commentaria"
Athanasius,"De Incarnatione Verbi"
Athanasius,"De decretis Nicaenae synodi"
Athanasius,"Oratio I contra Arianos"
Athanasius,"Oratio II contra Arianos"
Athanasius,"Oratio III contra Arianos"
Athanasius,"Oratio quarta contra Arianos [Sp.]"
"Athenaeus of Naucratis",Deipnosophistae
Athenagoras,"De Resurrectione"
Athenagoras,"Legatio sive Supplicatio pro Christianis"
Autolycus,"De Ortibus et Occasibus"
Autolycus,"De Sphaera Quae Movetur"
Babrius,"Fabulae Aesopeae"
"Bacchius Geron","Isagoge artis musicae"
Bacchylides,Dithyrambs
Bacchylides,Epinicians
"Barnabae Epistula","Barnabae epistula"
"Basil, Saint, Bishop of Caesarea","De legendis gentilium libris"
Batrachomyomachia,Batrachomyomachia
"Bion of Phlossa","Epitaphius Adonis"
"Bion of Phlossa","Epithalamium Achillis et Deidameiae"
"Bion of Phlossa",Fragmenta
"Bruti Epistulae",Epistulae
Callimachus,Aetia
Callimachus,Epigrams
Callimachus,"Epigrams and Fragments"
Callimachus,Hecala
Callimachus,"Hymn to Apollo"
Callimachus,"Hymn to Artemis"
Callimachus,"Hymn to Athena"
Callimachus,"Hymn to Delos"
Callimachus,"Hymn to Demeter"
Callimachus,"Hymn to Zeus"
Callimachus,Iambi
Callinicus,Fragmenta
Callistratus,Descriptiones
"Canticum Euripidis","Ex Orestis Stasimo I"
"Carmina Delphis Inventa","Carmina Delphis Inventa"
"Cassius Dio Cocceianus","Historia Romana"
"Cassius Iatrosophista","Quaestiones medicae et problemata physica"
"Cassius Longinus","Ars rhetorica"
"Cassius Longinus",Excerpta
"Cassius Longinus",Fragmenta
"Catenae (Novum Testamentum)","Catena In Acta (Catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Colossenses (Typus Parisinus) (E Cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Ephesios (Typus Parisinus) (E Cod. Coislin. 204)"
